tanggal,kategori,nama,detail,qty,harga,total
2025-11-01,Bahan Baku,Bahan baku,-,1,8900537,8900537
2025-11-04,Bahan Baku,Bahan baku,-,1,7310009,7310009
2025-11-07,Bahan Baku,Bahan baku,-,1,8967786,8967786
2025-11-10,Bahan Baku,Bahan baku,-,1,7110273,7110273
2025-11-13,Bahan Baku,Bahan baku,-,1,7412584,7412584
2025-11-16,Bahan Baku,Bahan baku,-,1,8122832,8122832
2025-11-19,Bahan Baku,Bahan baku,-,1,6925626,6925626
2025-11-22,Bahan Baku,Bahan baku,-,1,8959720,8959720
2025-11-25,Bahan Baku,Bahan baku,-,1,7255319,7255319
2025-11-28,Bahan Baku,Bahan baku,-,1,8093634,8093634
