tanggal,kategori,nama,detail,qty,harga,total
2025-01-01,Bahan Baku,Bahan baku,-,1,11905028,11905028
2025-01-04,Bahan Baku,Bahan baku,-,1,10551186,10551186
2025-01-07,Bahan Baku,Bahan baku,-,1,9219869,9219869
2025-01-10,Bahan Baku,Bahan baku,-,1,11333376,11333376
2025-01-13,Bahan Baku,Bahan baku,-,1,9454639,9454639
2025-01-16,Bahan Baku,Bahan baku,-,1,9878201,9878201
2025-01-19,Bahan Baku,Bahan baku,-,1,11267006,11267006
2025-01-22,Bahan Baku,Bahan baku,-,1,9574175,9574175
2025-01-25,Bahan Baku,Bahan baku,-,1,13608854,13608854
2025-01-28,Bahan Baku,Bahan baku,-,1,16319204,16319204
