tanggal,kategori,nama,detail,qty,harga,total
2025-05-01,Bahan Baku,Bahan baku,-,1,8756945,8756945
2025-05-04,Bahan Baku,Bahan baku,-,1,9304169,9304169
2025-05-07,Bahan Baku,Bahan baku,-,1,8539992,8539992
2025-05-10,Bahan Baku,Bahan baku,-,1,10530696,10530696
2025-05-13,Bahan Baku,Bahan baku,-,1,8093913,8093913
2025-05-16,Bahan Baku,Bahan baku,-,1,8919676,8919676
2025-05-19,Bahan Baku,Bahan baku,-,1,6981164,6981164
2025-05-22,Bahan Baku,Bahan baku,-,1,8787693,8787693
2025-05-25,Bahan Baku,Bahan baku,-,1,8629452,8629452
2025-05-28,Bahan Baku,Bahan baku,-,1,11837981,11837981
