tanggal,kategori,nama,detail,qty,harga,total
2025-06-01,Bahan Baku,Bahan baku,-,1,10693634,10693634
2025-06-04,Bahan Baku,Bahan baku,-,1,10527838,10527838
2025-06-07,Bahan Baku,Bahan baku,-,1,12513097,12513097
2025-06-10,Bahan Baku,Bahan baku,-,1,7189001,7189001
2025-06-13,Bahan Baku,Bahan baku,-,1,9880320,9880320
2025-06-16,Bahan Baku,Bahan baku,-,1,8499834,8499834
2025-06-19,Bahan Baku,Bahan baku,-,1,8609718,8609718
2025-06-22,Bahan Baku,Bahan baku,-,1,8238922,8238922
2025-06-25,Bahan Baku,Bahan baku,-,1,10281961,10281961
2025-06-28,Bahan Baku,Bahan baku,-,1,12659438,12659438
