tanggal,kategori,nama,detail,qty,harga,total
2025-07-01,Bahan Baku,Bahan baku,-,1,10060545,10060545
2025-07-04,Bahan Baku,Bahan baku,-,1,12046192,12046192
2025-07-07,Bahan Baku,Bahan baku,-,1,10435166,10435166
2025-07-10,Bahan Baku,Bahan baku,-,1,10563119,10563119
2025-07-13,Bahan Baku,Bahan baku,-,1,11330325,11330325
2025-07-16,Bahan Baku,Bahan baku,-,1,9120855,9120855
2025-07-19,Bahan Baku,Bahan baku,-,1,11147859,11147859
2025-07-22,Bahan Baku,Bahan baku,-,1,9686082,9686082
2025-07-25,Bahan Baku,Bahan baku,-,1,12314232,12314232
2025-07-28,Bahan Baku,Bahan baku,-,1,12956979,12956979
