tanggal,kategori,nama,detail,qty,harga,total
2025-08-01,Bahan Baku,Bahan baku,-,1,9466146,9466146
2025-08-04,Bahan Baku,Bahan baku,-,1,7502431,7502431
2025-08-07,Bahan Baku,Bahan baku,-,1,8805423,8805423
2025-08-10,Bahan Baku,Bahan baku,-,1,9235395,9235395
2025-08-13,Bahan Baku,Bahan baku,-,1,7862303,7862303
2025-08-16,Bahan Baku,Bahan baku,-,1,8949286,8949286
2025-08-19,Bahan Baku,Bahan baku,-,1,7377161,7377161
2025-08-22,Bahan Baku,Bahan baku,-,1,8423327,8423327
2025-08-25,Bahan Baku,Bahan baku,-,1,7286151,7286151
2025-08-28,Bahan Baku,Bahan baku,-,1,11257264,11257264
