tanggal,kategori,nama,detail,qty,harga,total
2025-09-01,Bahan Baku,Bahan baku,-,1,6160862,6160862
2025-09-04,Bahan Baku,Bahan baku,-,1,7824280,7824280
2025-09-07,Bahan Baku,Bahan baku,-,1,8352167,8352167
2025-09-10,Bahan Baku,Bahan baku,-,1,6258375,6258375
2025-09-13,Bahan Baku,Bahan baku,-,1,8556760,8556760
2025-09-16,Bahan Baku,Bahan baku,-,1,6213736,6213736
2025-09-19,Bahan Baku,Bahan baku,-,1,8435468,8435468
2025-09-22,Bahan Baku,Bahan baku,-,1,6023700,6023700
2025-09-25,Bahan Baku,Bahan baku,-,1,7827262,7827262
2025-09-28,Bahan Baku,Bahan baku,-,1,9292314,9292314
