tanggal,produk,qty,harga_jual,hpp,profit
2025-10-01,Nasi Gudeg Campur,214,16000,11111,1046246
2025-10-01,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-10-01,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-10-02,Nasi Gudeg Campur,160,16000,11111,782240
2025-10-02,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-10-02,Ayam Bakar Bumbu Kecap,21,23000,14175,185325
2025-10-03,Nasi Gudeg Campur,520,16000,11111,2542280
2025-10-03,Ayam Bakar Bumbu Rujak,60,23000,16379,397260
2025-10-03,Ayam Bakar Bumbu Kecap,60,23000,14175,529500
2025-10-04,Nasi Gudeg Campur,211,16000,11111,1031579
2025-10-04,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-10-04,Ayam Bakar Bumbu Kecap,21,23000,14175,185325
2025-10-05,Nasi Gudeg Campur,321,16000,11111,1569489
2025-10-05,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-10-05,Ayam Bakar Bumbu Kecap,13,23000,14175,114725
2025-10-06,Nasi Gudeg Campur,210,16000,11111,1026690
2025-10-06,Ayam Bakar Bumbu Rujak,13,23000,16379,86100
2025-10-06,Ayam Bakar Bumbu Kecap,11,23000,14175,97075
2025-10-07,Nasi Gudeg Campur,132,16000,11111,645348
2025-10-07,Ayam Bakar Bumbu Rujak,9,23000,16379,59589
2025-10-07,Ayam Bakar Bumbu Kecap,13,23000,14175,114725
2025-10-08,Nasi Gudeg Campur,245,16000,11111,1197805
2025-10-08,Ayam Bakar Bumbu Rujak,14,23000,16379,92700
2025-10-08,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-10-09,Nasi Gudeg Campur,250,16000,11111,1222250
2025-10-09,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-10-09,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-10-10,Nasi Gudeg Campur,237,16000,11111,1158700
2025-10-10,Ayam Bakar Bumbu Rujak,17,23000,16379,112557
2025-10-10,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-10-11,Nasi Gudeg Campur,248,16000,11111,1212472
2025-10-11,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-10-11,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
2025-10-12,Nasi Gudeg Campur,254,16000,11111,1241806
2025-10-12,Ayam Bakar Bumbu Rujak,26,23000,16379,172146
2025-10-12,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-10-13,Nasi Gudeg Campur,230,16000,11111,1124470
2025-10-13,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-10-13,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-10-14,Nasi Gudeg Campur,180,16000,11111,880020
2025-10-14,Ayam Bakar Bumbu Rujak,10,23000,16379,66210
2025-10-14,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-10-15,Nasi Gudeg Campur,234,16000,11111,1144026
2025-10-15,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-10-15,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-10-16,Nasi Gudeg Campur,900,16000,11111,4400100
2025-10-16,Ayam Bakar Bumbu Rujak,90,23000,16379,595890
2025-10-16,Ayam Bakar Bumbu Kecap,90,23000,14175,794250
2025-10-17,Nasi Gudeg Campur,900,16000,11111,4400100
2025-10-17,Ayam Bakar Bumbu Rujak,90,23000,16379,595890
2025-10-17,Ayam Bakar Bumbu Kecap,90,23000,14175,794250
2025-10-18,Nasi Gudeg Campur,900,16000,11111,4400100
2025-10-18,Ayam Bakar Bumbu Rujak,90,23000,16379,595890
2025-10-18,Ayam Bakar Bumbu Kecap,90,23000,14175,794250
2025-10-23,Nasi Gudeg Campur,244,16000,11111,1192916
2025-10-23,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-10-23,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-10-24,Nasi Gudeg Campur,218,16000,11111,1065802
2025-10-24,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-10-24,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-10-25,Nasi Gudeg Campur,230,16000,11111,1124470
2025-10-25,Ayam Bakar Bumbu Rujak,17,23000,16379,112557
2025-10-25,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-10-26,Nasi Gudeg Campur,288,16000,11111,1408032
2025-10-26,Ayam Bakar Bumbu Rujak,22,23000,16379,145662
2025-10-26,Ayam Bakar Bumbu Kecap,26,23000,14175,229450
2025-10-27,Nasi Gudeg Campur,249,16000,11111,1217359
2025-10-27,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-10-27,Ayam Bakar Bumbu Kecap,11,23000,14175,97075
2025-10-28,Nasi Gudeg Campur,246,16000,11111,1202580
2025-10-28,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-10-28,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-10-29,Nasi Gudeg Campur,221,16000,11111,1080469
2025-10-29,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-10-29,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-10-30,Nasi Gudeg Campur,258,16000,11111,1261370
2025-10-30,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-10-30,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-10-31,Nasi Gudeg Campur,270,16000,11111,1320030
2025-10-31,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-10-31,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
