tanggal,produk,qty,harga_jual,hpp,profit
2025-11-02,Nasi Gudeg Campur,210,16000,11111,1026690
2025-11-02,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-11-02,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-11-03,Nasi Gudeg Campur,220,16000,11111,1075580
2025-11-03,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-11-03,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-11-04,Nasi Gudeg Campur,230,16000,11111,1124470
2025-11-04,Ayam Bakar Bumbu Rujak,17,23000,16379,112557
2025-11-04,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-11-05,Nasi Gudeg Campur,210,16000,11111,1026690
2025-11-05,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-11-05,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-11-06,Nasi Gudeg Campur,200,16000,11111,977800
2025-11-06,Ayam Bakar Bumbu Rujak,14,23000,16379,92700
2025-11-06,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
2025-11-07,Nasi Gudeg Campur,190,16000,11111,928910
2025-11-07,Ayam Bakar Bumbu Rujak,13,23000,16379,86100
2025-11-07,Ayam Bakar Bumbu Kecap,13,23000,14175,114725
2025-11-09,Nasi Gudeg Campur,180,16000,11111,880020
2025-11-09,Ayam Bakar Bumbu Rujak,12,23000,16379,79452
2025-11-09,Ayam Bakar Bumbu Kecap,12,23000,14175,105900
2025-11-10,Nasi Gudeg Campur,190,16000,11111,928910
2025-11-10,Ayam Bakar Bumbu Rujak,13,23000,16379,86100
2025-11-10,Ayam Bakar Bumbu Kecap,13,23000,14175,114725
2025-11-11,Nasi Gudeg Campur,200,16000,11111,977800
2025-11-11,Ayam Bakar Bumbu Rujak,14,23000,16379,92700
2025-11-11,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
2025-11-12,Nasi Gudeg Campur,210,16000,11111,1026690
2025-11-12,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-11-12,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-11-13,Nasi Gudeg Campur,220,16000,11111,1075580
2025-11-13,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
