tanggal,produk,qty,harga_jual,hpp,profit
2025-12-01,Nasi Gudeg Campur,245,16000,11111,1197805
2025-12-01,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-12-01,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-12-02,Nasi Gudeg Campur,214,16000,11111,1046246
2025-12-02,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-12-02,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-12-03,Nasi Gudeg Campur,234,16000,11111,1144026
2025-12-03,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-12-03,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
2025-12-04,Nasi Gudeg Campur,201,16000,11111,982689
2025-12-04,Ayam Bakar Bumbu Rujak,14,23000,16379,92700
2025-12-04,Ayam Bakar Bumbu Kecap,12,23000,14175,105900
2025-12-05,Nasi Gudeg Campur,223,16000,11111,1090247
2025-12-05,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-12-05,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-12-06,Nasi Gudeg Campur,265,16000,11111,1295585
2025-12-06,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-12-06,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-12-07,Nasi Gudeg Campur,328,16000,11111,1603592
2025-12-07,Ayam Bakar Bumbu Rujak,34,23000,16379,225114
2025-12-07,Ayam Bakar Bumbu Kecap,32,23000,14175,282400
2025-12-08,Nasi Gudeg Campur,241,16000,11111,1178369
2025-12-08,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-12-08,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-12-09,Nasi Gudeg Campur,268,16000,11111,1310252
2025-12-09,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-12-09,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-12-10,Nasi Gudeg Campur,233,16000,11111,1139147
2025-12-10,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-12-10,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-12-11,Nasi Gudeg Campur,230,16000,11111,1124470
2025-12-11,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-12-11,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-12-12,Nasi Gudeg Campur,258,16000,11111,1261370
2025-12-12,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-12-12,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
2025-12-13,Nasi Gudeg Campur,264,16000,11111,1290720
2025-12-13,Ayam Bakar Bumbu Rujak,24,23000,16379,158904
2025-12-13,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-12-14,Nasi Gudeg Campur,340,16000,11111,1662260
2025-12-14,Ayam Bakar Bumbu Rujak,34,23000,16379,225114
2025-12-14,Ayam Bakar Bumbu Kecap,38,23000,14175,335350
2025-12-15,Nasi Gudeg Campur,232,16000,11111,1134320
2025-12-15,Ayam Bakar Bumbu Rujak,17,23000,16379,112557
2025-12-15,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-12-16,Nasi Gudeg Campur,245,16000,11111,1197805
2025-12-16,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-12-16,Ayam Bakar Bumbu Kecap,13,23000,14175,114725
