tanggal,produk,qty,harga_jual,hpp,profit
2025-01-01,Nasi Gudeg Campur,220,16000,11111,1075580
2025-01-01,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-01-01,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-01-02,Nasi Gudeg Campur,230,16000,11111,1124470
2025-01-02,Ayam Bakar Bumbu Rujak,10,23000,16379,66210
2025-01-02,Ayam Bakar Bumbu Kecap,10,23000,14175,88250
2025-01-03,Nasi Gudeg Campur,200,16000,11111,977800
2025-01-03,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-01-03,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-01-04,Nasi Gudeg Campur,270,16000,11111,1320030
2025-01-04,Ayam Bakar Bumbu Rujak,5,23000,16379,33105
2025-01-04,Ayam Bakar Bumbu Kecap,5,23000,14175,44125
2025-01-05,Nasi Gudeg Campur,320,16000,11111,1564480
2025-01-05,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-01-05,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-01-06,Nasi Gudeg Campur,300,16000,11111,1466700
2025-01-06,Ayam Bakar Bumbu Rujak,8,23000,16379,52968
2025-01-06,Ayam Bakar Bumbu Kecap,8,23000,14175,70600
2025-01-07,Nasi Gudeg Campur,240,16000,11111,1173360
2025-01-07,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-01-07,Ayam Bakar Bumbu Kecap,25,23000,14175,220625
2025-01-08,Nasi Gudeg Campur,260,16000,11111,1271140
2025-01-08,Ayam Bakar Bumbu Rujak,30,23000,16379,198630
2025-01-08,Ayam Bakar Bumbu Kecap,30,23000,14175,264750
2025-01-09,Nasi Gudeg Campur,280,16000,11111,1368920
2025-01-09,Ayam Bakar Bumbu Rujak,12,23000,16379,79452
2025-01-09,Ayam Bakar Bumbu Kecap,12,23000,14175,105900
2025-01-10,Nasi Gudeg Campur,310,16000,11111,1515590
2025-01-10,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-01-10,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-01-11,Nasi Gudeg Campur,330,16000,11111,1613370
2025-01-11,Ayam Bakar Bumbu Rujak,5,23000,16379,33105
2025-01-11,Ayam Bakar Bumbu Kecap,5,23000,14175,44125
2025-01-12,Nasi Gudeg Campur,250,16000,11111,1222250
2025-01-12,Ayam Bakar Bumbu Rujak,22,23000,16379,145662
2025-01-12,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-01-13,Nasi Gudeg Campur,290,16000,11111,1417810
2025-01-13,Ayam Bakar Bumbu Rujak,10,23000,16379,66210
2025-01-13,Ayam Bakar Bumbu Kecap,10,23000,14175,88250
2025-01-14,Nasi Gudeg Campur,220,16000,11111,1075580
2025-01-14,Ayam Bakar Bumbu Rujak,35,23000,16379,231735
2025-01-14,Ayam Bakar Bumbu Kecap,35,23000,14175,308875
2025-01-15,Nasi Gudeg Campur,270,16000,11111,1320030
2025-01-15,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-01-15,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-01-16,Nasi Gudeg Campur,300,16000,11111,1466700
2025-01-16,Ayam Bakar Bumbu Rujak,8,23000,16379,52968
2025-01-16,Ayam Bakar Bumbu Kecap,8,23000,14175,70600
2025-01-17,Nasi Gudeg Campur,240,16000,11111,1173360
