tanggal,produk,qty,harga_jual,hpp,profit
2025-02-01,Nasi Gudeg Campur,210,16000,11111,1026690
2025-02-01,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-02-01,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-02-02,Nasi Gudeg Campur,282,16000,11111,1378898
2025-02-02,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-02-02,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-02-03,Nasi Gudeg Campur,215,16000,11111,1051355
2025-02-03,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-02-03,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-02-04,Nasi Gudeg Campur,224,16000,11111,1095136
2025-02-04,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-02-04,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-02-05,Nasi Gudeg Campur,233,16000,11111,1139137
2025-02-05,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-02-05,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-02-06,Nasi Gudeg Campur,217,16000,11111,1060913
2025-02-06,Ayam Bakar Bumbu Rujak,14,23000,16379,92700
2025-02-06,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-02-07,Nasi Gudeg Campur,228,16000,11111,1114680
2025-02-07,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-02-07,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-02-08,Nasi Gudeg Campur,230,16000,11111,1124470
2025-02-08,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-02-08,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-02-09,Nasi Gudeg Campur,300,16000,11111,1466700
2025-02-09,Ayam Bakar Bumbu Rujak,28,23000,16379,185388
2025-02-09,Ayam Bakar Bumbu Kecap,28,23000,14175,247100
2025-02-10,Nasi Gudeg Campur,218,16000,11111,1065802
2025-02-10,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-02-10,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
