tanggal,produk,qty,harga_jual,hpp,profit
2025-03-16,Nasi Gudeg Campur,285,16000,11111,1393425
2025-03-16,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-03-16,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-03-17,Nasi Gudeg Campur,160,16000,11111,782240
2025-03-17,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-03-17,Ayam Bakar Bumbu Kecap,6,23000,14175,52950
2025-03-18,Nasi Gudeg Campur,122,16000,11111,596458
2025-03-18,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-03-18,Ayam Bakar Bumbu Kecap,9,23000,14175,79425
2025-03-19,Nasi Gudeg Campur,106,16000,11111,518234
2025-03-19,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-03-19,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-03-20,Nasi Gudeg Campur,158,16000,11111,772462
2025-03-20,Ayam Bakar Bumbu Rujak,13,23000,16379,86100
2025-03-20,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-03-21,Nasi Gudeg Campur,200,16000,11111,977800
2025-03-21,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-03-21,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-03-22,Nasi Gudeg Campur,183,16000,11111,894687
2025-03-22,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-03-22,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-03-23,Nasi Gudeg Campur,235,16000,11111,1148915
2025-03-23,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-03-23,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-03-24,Nasi Gudeg Campur,110,16000,11111,537790
2025-03-24,Ayam Bakar Bumbu Rujak,10,23000,16379,66210
2025-03-24,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-03-25,Nasi Gudeg Campur,168,16000,11111,821352
2025-03-25,Ayam Bakar Bumbu Rujak,9,23000,16379,59589
2025-03-25,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-03-26,Nasi Gudeg Campur,190,16000,11111,928910
2025-03-26,Ayam Bakar Bumbu Rujak,13,23000,16379,86100
2025-03-26,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-03-27,Nasi Gudeg Campur,143,16000,11111,699159
2025-03-27,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-03-27,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-03-28,Nasi Gudeg Campur,127,16000,11111,620903
2025-03-28,Ayam Bakar Bumbu Rujak,23,23000,16379,152283
2025-03-28,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-03-29,Nasi Gudeg Campur,286,16000,11111,1398314
2025-03-29,Ayam Bakar Bumbu Rujak,27,23000,16379,178767
2025-03-29,Ayam Bakar Bumbu Kecap,26,23000,14175,229450
2025-03-30,Nasi Gudeg Campur,297,16000,11111,1452339
2025-03-30,Ayam Bakar Bumbu Rujak,36,23000,16379,238356
2025-03-30,Ayam Bakar Bumbu Kecap,30,23000,14175,264750
2025-03-31,Nasi Gudeg Campur,180,16000,11111,880020
2025-03-31,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-03-31,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
