tanggal,produk,qty,harga_jual,hpp,profit
2025-04-04,Nasi Gudeg Campur,375,16000,11111,1833375
2025-04-04,Ayam Bakar Bumbu Rujak,40,23000,16379,264840
2025-04-04,Ayam Bakar Bumbu Kecap,40,23000,14175,353000
2025-04-05,Nasi Gudeg Campur,332,16000,11111,1623148
2025-04-05,Ayam Bakar Bumbu Rujak,36,23000,16379,238356
2025-04-05,Ayam Bakar Bumbu Kecap,32,23000,14175,282400
2025-04-06,Nasi Gudeg Campur,359,16000,11111,1755451
2025-04-06,Ayam Bakar Bumbu Rujak,31,23000,16379,205251
2025-04-06,Ayam Bakar Bumbu Kecap,35,23000,14175,308875
2025-04-07,Nasi Gudeg Campur,311,16000,11111,1520479
2025-04-07,Ayam Bakar Bumbu Rujak,33,23000,16379,218493
2025-04-07,Ayam Bakar Bumbu Kecap,29,23000,14175,255925
2025-04-08,Nasi Gudeg Campur,215,16000,11111,1051355
2025-04-08,Ayam Bakar Bumbu Rujak,12,23000,16379,79452
2025-04-08,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-04-09,Nasi Gudeg Campur,228,16000,11111,1114680
2025-04-09,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-04-09,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-04-10,Nasi Gudeg Campur,243,16000,11111,1188033
2025-04-10,Ayam Bakar Bumbu Rujak,14,23000,16379,92700
2025-04-10,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
2025-04-11,Nasi Gudeg Campur,221,16000,11111,1080469
2025-04-11,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-04-11,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-04-12,Nasi Gudeg Campur,341,16000,11111,1667141
2025-04-12,Ayam Bakar Bumbu Rujak,28,23000,16379,185388
2025-04-12,Ayam Bakar Bumbu Kecap,28,23000,14175,247100
2025-04-13,Nasi Gudeg Campur,362,16000,11111,1769984
2025-04-13,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-04-13,Ayam Bakar Bumbu Kecap,34,23000,14175,300050
2025-04-14,Nasi Gudeg Campur,184,16000,11111,899576
2025-04-14,Ayam Bakar Bumbu Rujak,27,23000,16379,178767
2025-04-14,Ayam Bakar Bumbu Kecap,8,23000,14175,70600
2025-04-15,Nasi Gudeg Campur,222,16000,11111,1085358
2025-04-15,Ayam Bakar Bumbu Rujak,22,23000,16379,145662
2025-04-15,Ayam Bakar Bumbu Kecap,12,23000,14175,105900
2025-04-16,Nasi Gudeg Campur,197,16000,11111,963133
2025-04-16,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-04-16,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-04-17,Nasi Gudeg Campur,215,16000,11111,1051355
2025-04-17,Ayam Bakar Bumbu Rujak,12,23000,16379,79452
2025-04-17,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-04-18,Nasi Gudeg Campur,303,16000,11111,1481367
2025-04-18,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-04-18,Ayam Bakar Bumbu Kecap,26,23000,14175,229450
2025-04-23,Nasi Gudeg Campur,209,16000,11111,1021811
2025-04-23,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-04-23,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-04-24,Nasi Gudeg Campur,225,16000,11111,1100025
2025-04-24,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-04-24,Ayam Bakar Bumbu Kecap,21,23000,14175,185325
2025-04-25,Nasi Gudeg Campur,263,16000,11111,1285837
2025-04-25,Ayam Bakar Bumbu Rujak,24,23000,16379,158904
2025-04-25,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-04-26,Nasi Gudeg Campur,350,16000,11111,1711150
2025-04-26,Ayam Bakar Bumbu Rujak,32,23000,16379,211872
2025-04-26,Ayam Bakar Bumbu Kecap,30,23000,14175,264750
2025-04-27,Nasi Gudeg Campur,361,16000,11111,1765104
2025-04-27,Ayam Bakar Bumbu Rujak,38,23000,16379,251598
2025-04-27,Ayam Bakar Bumbu Kecap,26,23000,14175,229450
2025-04-28,Nasi Gudeg Campur,342,16000,11111,1672238
2025-04-28,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-04-28,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-04-29,Nasi Gudeg Campur,343,16000,11111,1677113
2025-04-29,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-04-29,Ayam Bakar Bumbu Kecap,21,23000,14175,185325
2025-04-30,Nasi Gudeg Campur,231,16000,11111,1129359
2025-04-30,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-04-30,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
