tanggal,produk,qty,harga_jual,hpp,profit
2025-06-01,Nasi Gudeg Campur,230,16000,11111,1124470
2025-06-01,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-06-01,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-06-02,Nasi Gudeg Campur,240,16000,11111,1173360
2025-06-02,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-06-02,Ayam Bakar Bumbu Kecap,21,23000,14175,185325
2025-06-03,Nasi Gudeg Campur,250,16000,11111,1222250
2025-06-03,Ayam Bakar Bumbu Rujak,22,23000,16379,145662
2025-06-03,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-06-04,Nasi Gudeg Campur,260,16000,11111,1271140
2025-06-04,Ayam Bakar Bumbu Rujak,23,23000,16379,152283
2025-06-04,Ayam Bakar Bumbu Kecap,23,23000,14175,202975
2025-06-05,Nasi Gudeg Campur,270,16000,11111,1320030
2025-06-05,Ayam Bakar Bumbu Rujak,24,23000,16379,158904
2025-06-05,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-06-06,Nasi Gudeg Campur,280,16000,11111,1368920
2025-06-06,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-06-06,Ayam Bakar Bumbu Kecap,25,23000,14175,220625
2025-06-08,Nasi Gudeg Campur,270,16000,11111,1320030
2025-06-08,Ayam Bakar Bumbu Rujak,24,23000,16379,158904
2025-06-08,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-06-09,Nasi Gudeg Campur,260,16000,11111,1271140
2025-06-09,Ayam Bakar Bumbu Rujak,23,23000,16379,152283
2025-06-09,Ayam Bakar Bumbu Kecap,23,23000,14175,202975
2025-06-10,Nasi Gudeg Campur,250,16000,11111,1222250
2025-06-10,Ayam Bakar Bumbu Rujak,22,23000,16379,145662
2025-06-10,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-06-11,Nasi Gudeg Campur,240,16000,11111,1173360
2025-06-11,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-06-11,Ayam Bakar Bumbu Kecap,21,23000,14175,185325
2025-06-12,Nasi Gudeg Campur,230,16000,11111,1124470
2025-06-12,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-06-12,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-06-13,Nasi Gudeg Campur,220,16000,11111,1075580
2025-06-13,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-06-13,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-06-15,Nasi Gudeg Campur,230,16000,11111,1124470
2025-06-15,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-06-15,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-06-16,Nasi Gudeg Campur,240,16000,11111,1173360
2025-06-16,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-06-16,Ayam Bakar Bumbu Kecap,21,23000,14175,185325
2025-06-17,Nasi Gudeg Campur,250,16000,11111,1222250
2025-06-17,Ayam Bakar Bumbu Rujak,22,23000,16379,145662
2025-06-17,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-06-18,Nasi Gudeg Campur,260,16000,11111,1271140
2025-06-18,Ayam Bakar Bumbu Rujak,23,23000,16379,152283
2025-06-18,Ayam Bakar Bumbu Kecap,23,23000,14175,202975
2025-06-19,Nasi Gudeg Campur,270,16000,11111,1320030
2025-06-19,Ayam Bakar Bumbu Rujak,24,23000,16379,158904
2025-06-19,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-06-20,Nasi Gudeg Campur,280,16000,11111,1368920
2025-06-20,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-06-20,Ayam Bakar Bumbu Kecap,25,23000,14175,220625
2025-06-22,Nasi Gudeg Campur,270,16000,11111,1320030
2025-06-22,Ayam Bakar Bumbu Rujak,24,23000,16379,158904
2025-06-22,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-06-23,Nasi Gudeg Campur,260,16000,11111,1271140
2025-06-23,Ayam Bakar Bumbu Rujak,23,23000,16379,152283
2025-06-23,Ayam Bakar Bumbu Kecap,23,23000,14175,202975
2025-06-24,Nasi Gudeg Campur,250,16000,11111,1222250
2025-06-24,Ayam Bakar Bumbu Rujak,22,23000,16379,145662
2025-06-24,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-06-25,Nasi Gudeg Campur,240,16000,11111,1173360
2025-06-25,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-06-25,Ayam Bakar Bumbu Kecap,21,23000,14175,185325
2025-06-26,Nasi Gudeg Campur,230,16000,11111,1124470
2025-06-26,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-06-26,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-06-27,Nasi Gudeg Campur,220,16000,11111,1075580
2025-06-27,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-06-27,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-06-29,Nasi Gudeg Campur,230,16000,11111,1124470
2025-06-29,Ayam Bakar Bumbu Rujak,20,23000,16379,132420
2025-06-29,Ayam Bakar Bumbu Kecap,20,23000,14175,176500
2025-06-30,Nasi Gudeg Campur,240,16000,11111,1173360
2025-06-30,Ayam Bakar Bumbu Rujak,21,23000,16379,138621
2025-06-30,Ayam Bakar Bumbu Kecap,21,23000,14175,185325
2025-06-01,Nasi Gudeg Campur,16,16000,11111,78224
2025-06-01,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-06-01,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-06-02,Nasi Gudeg Campur,16,16000,11111,78224
2025-06-02,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-06-02,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-06-03,Nasi Gudeg Campur,16,16000,11111,78224
2025-06-03,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-06-03,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-06-04,Nasi Gudeg Campur,16,16000,11111,78224
2025-06-04,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-06-04,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-06-05,Nasi Gudeg Campur,16,16000,11111,78224
2025-06-05,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-06-05,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-06-06,Nasi Gudeg Campur,16,16000,11111,78224
2025-06-06,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-06-06,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-06-08,Nasi Gudeg Campur,16,16000,11111,78224
2025-06-08,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-06-08,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-06-09,Nasi Gudeg Campur,16,16000,11111,78224
2025-06-09,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-06-09,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-06-10,Nasi Gudeg Campur,16,16000,11111,78224
