tanggal,produk,qty,harga_jual,hpp,profit
2025-07-01,Nasi Gudeg Campur,240,16000,11111,1173360
2025-07-01,Ayam Bakar Bumbu Rujak,23,23000,16379,152283
2025-07-01,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-07-02,Nasi Gudeg Campur,250,16000,11111,1222250
2025-07-02,Ayam Bakar Bumbu Rujak,24,23000,16379,158904
2025-07-02,Ayam Bakar Bumbu Kecap,23,23000,14175,202975
2025-07-03,Nasi Gudeg Campur,260,16000,11111,1271140
2025-07-03,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-07-03,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-07-04,Nasi Gudeg Campur,270,16000,11111,1320030
2025-07-04,Ayam Bakar Bumbu Rujak,26,23000,16379,172146
2025-07-04,Ayam Bakar Bumbu Kecap,25,23000,14175,220625
2025-07-06,Nasi Gudeg Campur,250,16000,11111,1222250
2025-07-06,Ayam Bakar Bumbu Rujak,24,23000,16379,158904
2025-07-06,Ayam Bakar Bumbu Kecap,23,23000,14175,202975
2025-07-07,Nasi Gudeg Campur,240,16000,11111,1173360
2025-07-07,Ayam Bakar Bumbu Rujak,23,23000,16379,152283
2025-07-07,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-07-08,Nasi Gudeg Campur,260,16000,11111,1271140
2025-07-08,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-07-08,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-07-09,Nasi Gudeg Campur,270,16000,11111,1320030
2025-07-09,Ayam Bakar Bumbu Rujak,26,23000,16379,172146
2025-07-09,Ayam Bakar Bumbu Kecap,25,23000,14175,220625
2025-07-10,Nasi Gudeg Campur,280,16000,11111,1368920
2025-07-10,Ayam Bakar Bumbu Rujak,27,23000,16379,178767
2025-07-10,Ayam Bakar Bumbu Kecap,26,23000,14175,229450
2025-07-11,Nasi Gudeg Campur,290,16000,11111,1417810
2025-07-11,Ayam Bakar Bumbu Rujak,28,23000,16379,185388
2025-07-11,Ayam Bakar Bumbu Kecap,27,23000,14175,238275
2025-07-13,Nasi Gudeg Campur,270,16000,11111,1320030
2025-07-13,Ayam Bakar Bumbu Rujak,26,23000,16379,172146
2025-07-13,Ayam Bakar Bumbu Kecap,25,23000,14175,220625
2025-07-14,Nasi Gudeg Campur,260,16000,11111,1271140
2025-07-14,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-07-14,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-07-15,Nasi Gudeg Campur,250,16000,11111,1222250
2025-07-15,Ayam Bakar Bumbu Rujak,24,23000,16379,158904
2025-07-15,Ayam Bakar Bumbu Kecap,23,23000,14175,202975
2025-07-16,Nasi Gudeg Campur,240,16000,11111,1173360
2025-07-16,Ayam Bakar Bumbu Rujak,23,23000,16379,152283
2025-07-16,Ayam Bakar Bumbu Kecap,22,23000,14175,194150
2025-07-17,Nasi Gudeg Campur,260,16000,11111,1271140
2025-07-17,Ayam Bakar Bumbu Rujak,25,23000,16379,165525
2025-07-17,Ayam Bakar Bumbu Kecap,24,23000,14175,211800
2025-07-18,Nasi Gudeg Campur,270,16000,11111,1320030
2025-07-18,Ayam Bakar Bumbu Rujak,26,23000,16379,172146
2025-07-18,Ayam Bakar Bumbu Kecap,25,23000,14175,220625
2025-07-20,Nasi Gudeg Campur,280,16000,11111,1368920
2025-07-20,Ayam Bakar Bumbu Rujak,27,23000,16379,178767
2025-07-20,Ayam Bakar Bumbu Kecap,26,23000,14175,229450
2025-07-21,Nasi Gudeg Campur,290,16000,11111,1417810
2025-07-21,Ayam Bakar Bumbu Rujak,28,23000,16379,185388
2025-07-21,Ayam Bakar Bumbu Kecap,27,23000,14175,238275
2025-07-22,Nasi Gudeg Campur,300,16000,11111,1466700
2025-07-22,Ayam Bakar Bumbu Rujak,29,23000,16379,191058
2025-07-22,Ayam Bakar Bumbu Kecap,28,23000,14175,247100
2025-07-23,Nasi Gudeg Campur,310,16000,11111,1515590
2025-07-23,Ayam Bakar Bumbu Rujak,30,23000,16379,198630
2025-07-23,Ayam Bakar Bumbu Kecap,29,23000,14175,255925
2025-07-24,Nasi Gudeg Campur,320,16000,11111,1564480
2025-07-24,Ayam Bakar Bumbu Rujak,31,23000,16379,205251
2025-07-24,Ayam Bakar Bumbu Kecap,30,23000,14175,264750
2025-07-25,Nasi Gudeg Campur,330,16000,11111,1613370
2025-07-25,Ayam Bakar Bumbu Rujak,32,23000,16379,211872
2025-07-25,Ayam Bakar Bumbu Kecap,31,23000,14175,273575
2025-07-27,Nasi Gudeg Campur,320,16000,11111,1564480
2025-07-27,Ayam Bakar Bumbu Rujak,31,23000,16379,205251
2025-07-27,Ayam Bakar Bumbu Kecap,30,23000,14175,264750
2025-07-28,Nasi Gudeg Campur,310,16000,11111,1515590
2025-07-28,Ayam Bakar Bumbu Rujak,30,23000,16379,198630
2025-07-28,Ayam Bakar Bumbu Kecap,29,23000,14175,255925
2025-07-29,Nasi Gudeg Campur,300,16000,11111,1466700
2025-07-29,Ayam Bakar Bumbu Rujak,29,23000,16379,191058
2025-07-29,Ayam Bakar Bumbu Kecap,28,23000,14175,247100
2025-07-30,Nasi Gudeg Campur,290,16000,11111,1417810
2025-07-30,Ayam Bakar Bumbu Rujak,28,23000,16379,185388
2025-07-30,Ayam Bakar Bumbu Kecap,27,23000,14175,238275
2025-07-31,Nasi Gudeg Campur,280,16000,11111,1368920
2025-07-31,Ayam Bakar Bumbu Rujak,27,23000,16379,178767
2025-07-31,Ayam Bakar Bumbu Kecap,26,23000,14175,229450
2025-07-01,Nasi Gudeg Campur,20,16000,11111,97780
2025-07-01,Ayam Bakar Bumbu Rujak,2,23000,16379,13242
2025-07-01,Ayam Bakar Bumbu Kecap,2,23000,14175,17650
2025-07-02,Nasi Gudeg Campur,20,16000,11111,97780
2025-07-02,Ayam Bakar Bumbu Rujak,2,23000,16379,13242
2025-07-02,Ayam Bakar Bumbu Kecap,2,23000,14175,17650
2025-07-03,Nasi Gudeg Campur,20,16000,11111,97780
2025-07-03,Ayam Bakar Bumbu Rujak,2,23000,16379,13242
2025-07-03,Ayam Bakar Bumbu Kecap,2,23000,14175,17650
2025-07-04,Nasi Gudeg Campur,20,16000,11111,97780
2025-07-04,Ayam Bakar Bumbu Rujak,2,23000,16379,13242
2025-07-04,Ayam Bakar Bumbu Kecap,2,23000,14175,17650
2025-07-06,Nasi Gudeg Campur,20,16000,11111,97780
2025-07-06,Ayam Bakar Bumbu Rujak,2,23000,16379,13242
2025-07-06,Ayam Bakar Bumbu Kecap,2,23000,14175,17650
