tanggal,produk,qty,harga_jual,hpp,profit
2025-08-01,Nasi Gudeg Campur,210,16000,11111,1026690
2025-08-01,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-08-01,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-08-03,Nasi Gudeg Campur,220,16000,11111,1075580
2025-08-03,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-08-03,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-08-04,Nasi Gudeg Campur,230,16000,11111,1124470
2025-08-04,Ayam Bakar Bumbu Rujak,17,23000,16379,112557
2025-08-04,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-08-05,Nasi Gudeg Campur,240,16000,11111,1173360
2025-08-05,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-08-05,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-08-06,Nasi Gudeg Campur,230,16000,11111,1124470
2025-08-06,Ayam Bakar Bumbu Rujak,17,23000,16379,112557
2025-08-06,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-08-07,Nasi Gudeg Campur,220,16000,11111,1075580
2025-08-07,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-08-07,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-08-08,Nasi Gudeg Campur,210,16000,11111,1026690
2025-08-08,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-08-08,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-08-10,Nasi Gudeg Campur,200,16000,11111,977800
2025-08-10,Ayam Bakar Bumbu Rujak,14,23000,16379,92700
2025-08-10,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
2025-08-11,Nasi Gudeg Campur,210,16000,11111,1026690
2025-08-11,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-08-11,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-08-12,Nasi Gudeg Campur,220,16000,11111,1075580
2025-08-12,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-08-12,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-08-13,Nasi Gudeg Campur,230,16000,11111,1124470
2025-08-13,Ayam Bakar Bumbu Rujak,17,23000,16379,112557
2025-08-13,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-08-14,Nasi Gudeg Campur,240,16000,11111,1173360
2025-08-14,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-08-14,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-08-15,Nasi Gudeg Campur,250,16000,11111,1222250
2025-08-15,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-08-15,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-08-17,Nasi Gudeg Campur,240,16000,11111,1173360
2025-08-17,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-08-17,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-08-18,Nasi Gudeg Campur,230,16000,11111,1124470
2025-08-18,Ayam Bakar Bumbu Rujak,17,23000,16379,112557
2025-08-18,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-08-19,Nasi Gudeg Campur,220,16000,11111,1075580
2025-08-19,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-08-19,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-08-20,Nasi Gudeg Campur,210,16000,11111,1026690
2025-08-20,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-08-20,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-08-21,Nasi Gudeg Campur,200,16000,11111,977800
2025-08-21,Ayam Bakar Bumbu Rujak,14,23000,16379,92700
2025-08-21,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
2025-08-22,Nasi Gudeg Campur,190,16000,11111,928910
2025-08-22,Ayam Bakar Bumbu Rujak,13,23000,16379,86100
2025-08-22,Ayam Bakar Bumbu Kecap,13,23000,14175,114725
2025-08-24,Nasi Gudeg Campur,200,16000,11111,977800
2025-08-24,Ayam Bakar Bumbu Rujak,14,23000,16379,92700
2025-08-24,Ayam Bakar Bumbu Kecap,14,23000,14175,123550
2025-08-25,Nasi Gudeg Campur,210,16000,11111,1026690
2025-08-25,Ayam Bakar Bumbu Rujak,15,23000,16379,99315
2025-08-25,Ayam Bakar Bumbu Kecap,15,23000,14175,132375
2025-08-26,Nasi Gudeg Campur,220,16000,11111,1075580
2025-08-26,Ayam Bakar Bumbu Rujak,16,23000,16379,105936
2025-08-26,Ayam Bakar Bumbu Kecap,16,23000,14175,141200
2025-08-27,Nasi Gudeg Campur,230,16000,11111,1124470
2025-08-27,Ayam Bakar Bumbu Rujak,17,23000,16379,112557
2025-08-27,Ayam Bakar Bumbu Kecap,17,23000,14175,150025
2025-08-28,Nasi Gudeg Campur,240,16000,11111,1173360
2025-08-28,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-08-28,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-08-29,Nasi Gudeg Campur,250,16000,11111,1222250
2025-08-29,Ayam Bakar Bumbu Rujak,19,23000,16379,125799
2025-08-29,Ayam Bakar Bumbu Kecap,19,23000,14175,167675
2025-08-31,Nasi Gudeg Campur,240,16000,11111,1173360
2025-08-31,Ayam Bakar Bumbu Rujak,18,23000,16379,119178
2025-08-31,Ayam Bakar Bumbu Kecap,18,23000,14175,158850
2025-08-03,Nasi Gudeg Campur,19,16000,11111,92910
2025-08-03,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-08-03,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
2025-08-04,Nasi Gudeg Campur,19,16000,11111,92910
2025-08-04,Ayam Bakar Bumbu Rujak,1,23000,16379,6621
2025-08-04,Ayam Bakar Bumbu Kecap,1,23000,14175,8825
